loc,disea,n,Dvlpd_NLCD06,Forest_NLCD06,Herbaceous_NLCD06,Tract_Frag06,FragPerim06,CWED_DF06,TECI_DF06,CWED_FH06,TECI_FH06,CWED_HD06,TECI_HD06,Pop_den,Median_age,Mean_income,long,lat
0,15,9005,-0.846624916,0.625020697,0.498933318,-0.34112051,-0.32422721,-0.445651799,-0.268738346,1.193281218,0.978251466,-0.7658392,-0.813236615,-0.657506612,-0.226713172,-0.432913463,-78.387661,38.233235
0,9,8970,-0.707822793,0.018282454,1.167698483,-0.036778411,0.040310446,-0.560693557,-0.499198183,0.914446018,0.652454397,-0.604186685,-0.538223997,-0.637360133,-0.165093694,-0.611355591,-78.373187,39.003286
1,1,8940,0.706715886,-0.505332187,-0.463721367,0.91559985,0.820530073,1.393545257,1.805466843,-0.244447402,-0.424174427,0.476235114,0.696469575,-0.345470126,-0.517705793,0.549803821,-77.574208,37.657742
1,2,8821,-0.563028122,0.46894635,0.871216036,0.761908483,0.786818542,0.505389467,0.465477015,1.437444697,0.363652618,0.354509135,0.252446083,-0.38035379,0.556897196,0.325307904,-77.518092,37.676243
1,0,8764,-0.903748386,0.839416492,0.837528572,-0.750320352,-0.779652751,-0.464943609,0.129428349,-0.00219365,0.6292837,-0.927224718,-0.565576292,-0.576313647,0.467346947,0.612304192,-76.072144,36.729592
1,1,8763,-1.284050472,1.998516761,-0.415167397,-0.907432484,-0.936337331,-0.940059919,-0.999514088,0.326744197,1.69961902,-1.308747092,-1.494047335,-0.651748281,0.482271989,0.1744108,-77.900865,37.56448
1,5,8662,-1.282802886,0.96182546,1.67774976,-0.55577042,-0.508176022,-0.892355478,-0.873256195,0.680872356,1.948792508,-1.292497911,-1.460314821,-0.666730363,0.377796698,-0.562020217,-77.969612,38.247076
1,5,8563,-1.1760117,1.233123996,-0.236414887,-0.741565151,-0.709148213,-0.522232321,-0.15487343,0.199030262,0.605004357,-1.168798485,-1.241534354,-0.630514152,0.228546283,-0.13741369,-76.840082,37.333739
1,4,8534,-0.044076473,-0.15573891,-0.171881261,0.799593611,0.71096321,0.733740938,0.979997666,-0.132230716,-0.359269322,0.193045566,0.324236445,-0.31775435,-0.413230503,-0.140409747,-76.272085,36.74104
0,14,8356,-0.723427167,-0.394656357,1.842566096,0.109677901,0.052936423,-0.781803168,-0.860034191,0.544756446,0.442937912,-0.463336313,-0.207288056,-0.651992281,0.327862126,-0.611771804,-78.544277,38.880062
1,5,8340,-1.275623323,1.663328621,0.211998983,-0.745354598,-0.735787615,-0.905265724,-0.913016879,0.597986107,1.800146979,-1.287918441,-1.44871275,-0.66459776,0.527047113,-0.334215611,-78.141523,38.062373
1,3,8325,-1.130428377,1.820323356,-0.580446834,-0.859556082,-0.851545894,-0.710607824,-0.529538936,0.606208096,1.134595299,-1.088956949,-1.036890095,-0.621979162,-0.48785571,0.506165587,-77.564837,38.36515
0,51,8316,-0.951317923,-0.611611183,2.610057041,-0.141073599,-0.118507339,-0.928866501,-1.083614934,0.066346557,1.11159207,-0.951900272,-0.898593007,-0.710291191,0.728388729,-0.140050429,-77.979561,39.17145
0,9,8154,-1.002728932,0.455217106,1.058039694,-0.472312006,-0.415916557,-0.739153992,-0.61516296,0.63299125,1.387613898,-1.0608226,-1.312346732,-0.712160971,0.451101081,-0.027861942,-77.947611,38.611101
1,1,8084,-0.013056789,-0.824680702,1.463652822,0.954618909,1.023813888,-0.052659302,-0.193522491,-0.277597532,-0.581993747,1.49878317,1.348368604,-0.170212245,0.795697861,0.613997616,-76.403283,36.844508
0,29,8068,-0.977270248,0.361635818,1.161777698,-0.367094653,-0.3689473,-0.8407002,-0.877119654,0.600250787,1.320491287,-1.001424475,-1.149161045,-0.721855055,0.312457256,-0.447518777,-80.453204,37.063429
